freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,AT	8451860 	8507786 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT001C	1741246 	1766746 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT002C	265778 	269997 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT003C	191501 	193814 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT004C	145871 	146631 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT005C	122458 	124579 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT006C	95450 	96640 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,BE	11161642 	11203992 	11258434 	11307192 	11351727 	11398589 	11455519 	11522440 	11554767 	: 
A,DE1001V,BE001C	1174624 	1183841 	1196831 	1201129 	1199095 	1205492 	1215289 	1223364 	1226329 	: 
A,DE1001V,BE002C	512230 	513915 	515593 	517731 	520859 	523591 	526439 	530014 	530627 	: 
A,DE1001V,BE003C	249754 	251984 	253914 	257226 	259462 	260329 	262205 	263687 	264019 	: 
A,DE1001V,BE004C	204826 	203640 	203228 	202602 	201884 	202341 	202637 	203314 	238412 	: 
A,DE1001V,BE005C	382009 	382637 	382852 	382488 	383725 	383710 	383482 	383700 	405980 	: 
A,DE1001V,BE006C	118145 	117886 	118335 	118219 	118393 	118526 	118569 	118916 	118802 	: 
A,DE1001V,BE007C	111224 	111348 	111312 	110738 	111111 	111334 	111239 	112125 	112373 	: 
A,DE1001V,BE008C	98119 	98591 	98531 	99365 	99640 	100524 	101132 	101625 	100772 	: 
A,DE1001V,BE009C	94316 	95357 	95469 	95046 	95332 	95369 	95679 	95922 	157333 	: 
A,DE1001V,BE010C	75687 	75604 	75577 	75639 	75849 	76342 	76814 	77136 	77303 	: 
A,DE1001V,BE011C	70458 	70681 	70813 	70782 	71204 	71451 	71551 	71732 	71861 	: 
A,DE1001V,BE012C	: 	: 	: 	: 	: 	: 	: 	: 	87210 	: 
A,DE1001V,BE013C	: 	: 	: 	: 	: 	: 	: 	: 	59681 	: 
A,DE1001V,BE014C	: 	: 	: 	: 	: 	: 	: 	: 	104550 	: 
A,DE1001V,BE015C	: 	: 	: 	: 	: 	: 	: 	: 	70490 	: 
A,DE1001V,BG	7284552 e	7245677 e	7202198 	7153784 	7101859 	7050034 	7000039 	6951482 	: 	: 
A,DE1001V,BG001C	1213542 e	1221292 e	1228282 	1231981 	1236047 	1238438 	1241675 	1242568 	: 	: 
A,DE1001V,BG002C	339129 e	341041 e	341567 	341625 	343424 	345213 	346893 	347851 	: 	: 
A,DE1001V,BG003C	334744 e	335819 e	335949 	334466 	335177 	335854 	336505 	336216 	: 	: 
A,DE1001V,BG004C	199083 e	199364 e	198725 	203017 	202766 	202694 	202434 	201779 	: 	: 
A,DE1001V,BG005C	104416 e	103122 e	101978 	99628 	98467 	97557 	96610 	95086 	: 	: 
A,DE1001V,BG006C	148350 e	147817 e	147055 	145765 	144936 	144125 	142902 	141231 	: 	: 
A,DE1001V,BG007C	46877 e	46068 e	45327 	43595 	42801 	42195 	41583 	40620 	: 	: 
A,DE1001V,BG008C	137881 e	137834 e	137729 	136807 	136781 	136307 	135715 	134726 	: 	: 
A,DE1001V,BG009C	90404 e	89723 e	89065 	87895 	87322 	87063 	86275 	84985 	: 	: 
A,DE1001V,BG010C	89627 e	88807 e	87817 	86292 	85402 	84502 	83584 	82240 	: 	: 
A,DE1001V,BG011C	80143 e	79710 e	78884 	77709 	76967 	75837 	75500 	75442 	: 	: 
A,DE1001V,BG012C	78371 e	77382 e	76247 	74824 	74110 	73638 	73111 	72241 	: 	: 
A,DE1001V,BG013C	72778 e	72159 e	71561 	70224 	69542 	68846 	68074 	67222 	: 	: 
A,DE1001V,BG014C	75334 e	74826 e	73819 	72336 	71686 	71214 	70406 	69219 	: 	: 
A,DE1001V,BG015C	71195 e	70728 e	70321 	69384 	68963 	68572 	68194 	67650 	: 	: 
A,DE1001V,BG016C	70562 e	70583 e	70293 	69610 	69567 	69417 	69178 	68679 	: 	: 
A,DE1001V,BG017C	68871 e	68984 e	68676 	68320 	68478 	68780 	68859 	68828 	: 	: 
A,DE1001V,BG018C	58856 e	57771 e	56517 	54150 	53570 	53120 	52617 	51674 	: 	: 
A,DE1001V,CH	8039060 	8139631 	8237666 	8327126 	: 	: 	: 	: 	: 	: 
A,DE1001V,CH001C	216772 	219202 	221330 	223453 	226241 	227924 	228474 	229391 	230200 	229648 
A,DE1001V,CH002C	628763 	636561 	647786 	657918 	668341 	677118 	686121 	695019 	700889 	704537 
A,DE1001V,CH003C	382099 	386660 	393307 	399103 	402866 	407605 	411367 	415360 	416693 	419185 
A,DE1001V,CH004C	331281 	334220 	336466 	338453 	341193 	342698 	343818 	345476 	346640 	346276 
A,DE1001V,CH005C	235036 	239243 	241628 	244668 	248302 	250937 	252922 	254398 	257096 	258799 
A,DE1001V,CH006C	155775 	157412 	158637 	159189 	160244 	160566 	161790 	163068 	163830 	165306 
A,DE1001V,CH007C	104468 	105676 	106778 	108268 	109775 	110912 	111851 	113173 	114220 	115129 
A,DE1001V,CH008C	85757 	87329 	88598 	88747 	88940 	88484 	88337 	87829 	87804 	88138 
A,DE1001V,CH009C	74111 	74581 	75310 	75538 	75481 	75522 	75833 	76090 	76213 	76328 
A,DE1001V,CH010C	52351 	53031 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,CY	865900 	858000 	847000 	848300 	: 	: 	: 	: 	: 	: 
A,DE1001V,CY001C	246400 	244100 	241000 	241400 	: 	: 	: 	: 	: 	: 
A,DE1001V,CZ	10512419 	10538275 	10553843 d	10578820 	10610055 	: 	: 	: 	: 	: 
A,DE1001V,CZ001C	1243201 	1259079 	1267449 d	1280508 	1294513 	: 	1324277 d	: 	: 	: 
A,DE1001V,CZ002C	377508 	377440 	377028 d	377973 	379527 	: 	381346 d	: 	: 	: 
A,DE1001V,CZ003C	295653 	294200 	292681 d	291634 	290450 	: 	287968 d	: 	: 	: 
A,DE1001V,CZ004C	168034 	169033 	169858 d	170548 	170936 	: 	174842 d	: 	: 	: 
A,DE1001V,CZ005C	93523 	93409 	93248 d	92984 	93040 	: 	92716 d	: 	: 	: 
A,DE1001V,CZ006C	99489 	99809 	100154 d	100378 	100494 	: 	100663 d	: 	: 	: 
A,DE1001V,CZ007C	102301 	102562 	103288 d	103853 	103979 	: 	104802 d	: 	: 	: 
A,DE1001V,CZ008C	93253 	93285 	93513 d	93470 	93863 	: 	94463 d	: 	: 	: 
A,DE1001V,CZ009C	92904 	92808 	92891 d	92929 	92917 	: 	92939 d	: 	: 	: 
A,DE1001V,CZ010C	89432 	89693 	89638 d	90044 	90335 	: 	91727 d	: 	: 	: 
A,DE1001V,CZ011C	75278 	75112 	75171 d	75117 	74947 	: 	74935 d	: 	: 	: 
A,DE1001V,CZ012C	68519 	68552 	68466 d	68660 	68804 	: 	69337 d	: 	: 	: 
A,DE1001V,CZ013C	49864 	49781 	49326 d	49046 	48776 	: 	48479 d	: 	: 	: 
A,DE1001V,CZ014C	50510 	50521 	50714 d	50559 	50724 	: 	51216 d	: 	: 	: 
A,DE1001V,CZ015C	76109 	75049 	74101 d	73274 	72382 	: 	71200 d	: 	: 	: 
A,DE1001V,CZ016C	67332 	67089 	67002 d	66768 	66644 	: 	66034 d	: 	: 	: 
A,DE1001V,CZ017C	56848 	55985 	55163 d	54413 	53522 	: 	52128 d	: 	: 	: 
A,DE1001V,CZ018C	69214 	68842 	68545 d	68334 	68132 	: 	67876 d	: 	: 	: 
A,DE1001V,DE	80523746 	80767463 	81197537 	82175684 	82521653 	82792351 	: 	: 	83155031 	: 
A,DE1001V,DE001C	3375222 	3421829 	3469849 	3520031 	3574830 	3613495 	3644826 	3669491 	3664088 	: 
A,DE1001V,DE002C	1734272 	1746342 	1762791 	1787408 	1810438 	1830584 	1841179 	1847253 	1852478 	: 
A,DE1001V,DE003C	1388308 	1407836 	1429584 	1450381 	1464301 	1456039 	1471508 	1484226 	1488202 	: 
A,DE1001V,DE004C	1024373 	1034175 	1046680 	1060582 	1075935 	1080394 	1085664 	1087863 	1083498 	: 
A,DE1001V,DE005C	687775 	701350 	717624 	732688 	736414 	746878 	753056 	763380 	764104 	: 
A,DE1001V,DE006C	566862 	569884 	573784 	582624 	583084 	583393 	583109 	582760 	582415 	: 
A,DE1001V,DE007C	597939 	604297 	612441 	623738 	628032 	632743 	634830 	635911 	630305 	: 
A,DE1001V,DE008C	520838 	531562 	544479 	560472 	571088 	581980 	587857 	593145 	597493 	: 
A,DE1001V,DE009C	525105 	530754 	536308 	543825 	547172 	551072 	554649 	556780 	556227 	: 
A,DE1001V,DE010C	572087 	575944 	580511 	586181 	585813 	586600 	587010 	588250 	587696 	: 
A,DE1001V,DE011C	593682 	598686 	604527 	612178 	613230 	617280 	619294 	621877 	620523 	: 
A,DE1001V,DE012C	546451 	548547 	551767 	557464 	565719 	568006 	569352 	567559 	566573 	: 
A,DE1001V,DE013C	514137 	518386 	523642 	532163 	532864 	535061 	538068 	536925 	534049 	: 
A,DE1001V,DE014C	495121 	498876 	501072 	509975 	511628 	515201 	518365 	518370 	515543 	: 
A,DE1001V,DE015C	362213 	361734 	361876 	364742 	364920 	365529 	364628 	365587 	364454 	: 
